name,x,y,count
"weehawken, nj",40.7663711,-74.02537149999999,10
ridgewood,40.9792645,-74.11653129999999,3
united kingdom,55.378051,-3.435973,1
brooklyn,40.6781784,-73.9441579,4
"hoboken, nj",40.7439905,-74.0323626,4
herentals,51.1768541,4.835594599999999,1
"burlington, nj",40.071222,-74.86488729999999,4
