id,tweet,coordinates
4297,"Want 2 tickets for #NYCFC v #RBNY this Sunday? Tweet us why you should win! Use #NYCFC &amp; #WinNYCFC
@BlueLadiesNYCFC @BrownBagSC @ThirdRailSC","Polygon((-74.041878 40.570842, -73.855673 40.570842, -73.855673 40.739434, -74.041878 40.739434, -74.041878 40.570842))"
3378,"*clap* I-R-L-O
*clap* I-R-L-O
*clap* I-R-L-O
AND PIRLO WAS HIS NAME-O #WINNYCFC","Polygon((-73.78995 40.982445, -73.719524 40.982445, -73.719524 41.069964, -73.78995 41.069964, -73.78995 40.982445))"
1612,When the Mets win everyone wins ! #WINNYCFC,"Polygon((-74.026675 40.683935, -73.910408 40.683935, -73.910408 40.877483, -74.026675 40.877483, -74.026675 40.683935))"
3917,Need more #WINNYCFC  on my TL,"Polygon((-74.041878 40.570842, -73.855673 40.570842, -73.855673 40.739434, -74.041878 40.739434, -74.041878 40.570842))"
2254,"@NYCFC @ThirdRailSC @NewYorkRedBulls Only one team plays in New York, #WINNYCFC http://t.co/j8h3hwQ10g","Polygon((-73.204315 41.255518, -73.066037 41.255518, -73.066037 41.376652, -73.204315 41.376652, -73.204315 41.255518))"
3213,When people  ask me what I'm doing this weekend.... #HudsonRiverDerby #NYCFC #WINNYCFC http://t.co/03Wa0swhLG,"Polygon((-74.041878 40.570842, -73.855673 40.570842, -73.855673 40.739434, -74.041878 40.739434, -74.041878 40.570842))"
592,@Leftoutside15 I'll also be there #WINNYCFC,"Polygon((-73.526142 40.640135, -73.493782 40.640135, -73.493782 40.693835, -73.526142 40.693835, -73.526142 40.640135))"
81,Even the legend is wearing it !!!!! #NYCFC #nycfcforums #WINNYCFC #ryansdnycfc #brownbagsc @MixDiskerud #BlueLadies http://t.co/VFb3Rje1Ug,"Polygon((-74.026675 40.683935, -73.910408 40.683935, -73.910408 40.877483, -74.026675 40.877483, -74.026675 40.683935))"
3924,No Pirlo today it seems. #WINNYCFC,"Polygon((-74.026675 40.683935, -73.910408 40.683935, -73.910408 40.877483, -74.026675 40.877483, -74.026675 40.683935))"
1238,Some @NYCosmos intern tried to give me a flyer for a game.  #WINNYCFC http://t.co/Hp8vb0Wwrm,"Polygon((-74.026675 40.683935, -73.910408 40.683935, -73.910408 40.877483, -74.026675 40.877483, -74.026675 40.683935))"
1371,@ThirdRailSC so when is the official announcement? Tomorrow? Pirlo to #WINNYCFC,"Polygon((-74.041878 40.570842, -73.855673 40.570842, -73.855673 40.739434, -74.041878 40.739434, -74.041878 40.570842))"
1116,@VikingArmy_SC what time will you guys be changing the bulbs on the ESB to blue Saturday night?  #WINNYCFC,"Polygon((-73.231374 40.75728, -73.156218 40.75728, -73.156218 40.805742, -73.231374 40.805742, -73.231374 40.75728))"
95,Just completed an awesome episode with @opengoalny Awesome time and I'll respect them by not using #WinNYCFC ;-),"Polygon((-74.026675 40.683935, -73.910408 40.683935, -73.910408 40.877483, -74.026675 40.877483, -74.026675 40.683935))"
3400,THEEEEEERE WAS A SHEIK HE HAD A MAN AND PIRLO WAS HIS NAME-O #WINNYCFC,"Polygon((-73.78995 40.982445, -73.719524 40.982445, -73.719524 41.069964, -73.78995 41.069964, -73.78995 40.982445))"
2273,@sonix3nycfc this is certainly the longest chain of tweets I've ever had. #WinNYCFC Is this the norm?,"Polygon((-74.026675 40.683935, -73.910408 40.683935, -73.910408 40.877483, -74.026675 40.877483, -74.026675 40.683935))"
740,"#just3guyswhoarehavingagoodtime #winnycfc (@ Upper 90 Soccer Store in Brooklyn, NY) https://t.co/m8ehGjjSrJ http://t.co/80CXjKXY9n","Polygon((-74.041878 40.570842, -73.855673 40.570842, -73.855673 40.739434, -74.041878 40.739434, -74.041878 40.570842))"
721,Thanks!  Looking forward to it! #WinNYCFC  https://t.co/PBPQlXtZhv,"Polygon((-74.026675 40.683935, -73.910408 40.683935, -73.910408 40.877483, -74.026675 40.877483, -74.026675 40.683935))"
4712,Haha I won't bother him. Let's go NYC! #WINNYCFC,"Polygon((-74.026675 40.683935, -73.910408 40.683935, -73.910408 40.877483, -74.026675 40.877483, -74.026675 40.683935))"
1641,@NYCFCWatch Strange it wasn't considered in the first place. Probably the Gerrard factor stepped it up a notch. #WINNYCFC,"Polygon((-74.041878 40.570842, -73.855673 40.570842, -73.855673 40.739434, -74.041878 40.739434, -74.041878 40.570842))"
2154,"@6thBoroughBlues Right on! That's where my mum's from, Antigua! Represent! #WINNYCFC","Polygon((-74.041878 40.570842, -73.855673 40.570842, -73.855673 40.739434, -74.041878 40.739434, -74.041878 40.570842))"
4711,Shout out to @NYCFC #WINNYCFC,"Polygon((-2.319934 53.343623, -2.147026 53.343623, -2.147026 53.5702824, -2.319934 53.5702824, -2.319934 53.343623))"
1133,"Well, first time for everything. cc: @BrownBagSC #WINNYCFC http://t.co/p5kJ7i8hUL","Polygon((-74.026675 40.683935, -73.910408 40.683935, -73.910408 40.877483, -74.026675 40.877483, -74.026675 40.683935))"
1134,"@Haranghy @Yankees @MCFC Yeah, I noticed that when it happened, greatly appreciated! #WINNYCFC","Polygon((-74.041878 40.570842, -73.855673 40.570842, -73.855673 40.739434, -74.041878 40.739434, -74.041878 40.570842))"
1064,@12NYC That's a good looking @MixDiskerud #WinNYCFC  https://t.co/lQGszaXUHw,"Polygon((-74.026675 40.683935, -73.910408 40.683935, -73.910408 40.877483, -74.026675 40.877483, -74.026675 40.683935))"
1138,Praying for towns to go to the lakers.... let me throw this in there #WINNYCFC,"Polygon((-73.933612 40.785365, -73.765271 40.785365, -73.765271 40.91533, -73.933612 40.91533, -73.933612 40.785365))"
3469,Seems that some Austrians didn't care for Red Bull. Second paragraph: #WINNYCFC http://t.co/1sfMNuOCzE,"Polygon((-74.041878 40.570842, -73.855673 40.570842, -73.855673 40.739434, -74.041878 40.739434, -74.041878 40.570842))"
3836,@NYCFCWatch #WINNYCFC  NY is Sky Blue,"Polygon((-73.117153 41.171997, -72.990337 41.171997, -72.990337 41.276059, -73.117153 41.276059, -73.117153 41.171997))"
3325,@pinkk_teacup @sonix3nycfc  no doubt you ladies can handle yourselves but if it ever comes down to it #WINNYCFC 👊🐦 http://t.co/XlvQ98c3NR,"Polygon((-74.041878 40.570842, -73.855673 40.570842, -73.855673 40.739434, -74.041878 40.739434, -74.041878 40.570842))"
254,@EmilianoNo28 @MixDiskerud MIX MIX MIX. #WINNYCFC CANT WAIT 4 SUNDAY ##ryansdnycfc #nycfcforums #brownbagsc #nycfc #NYCFCfamily #BlueLadies,"Polygon((-74.026675 40.683935, -73.910408 40.683935, -73.910408 40.877483, -74.026675 40.877483, -74.026675 40.683935))"
1279,This could be us...but you think New York football is red #WINNYCFC 💙⚽️😩😩 #bachelorbird  https://t.co/azlt3P4sDN,"Polygon((-74.026675 40.683935, -73.910408 40.683935, -73.910408 40.877483, -74.026675 40.877483, -74.026675 40.683935))"
